Survived,Pclass,Age,Embarked,Fare_cat,IsFemale,Family_Member,IsAlone
0,1,54,0,3,0,0,1
0,1,19,0,3,0,5,0
0,1,40,2,2,0,0,1
0,1,28,2,3,0,1,0
0,1,42,0,3,0,1,0
0,1,65,2,3,0,1,0
0,1,45,0,3,0,1,0
0,1,44.58196721,2,2,0,0,1
0,1,28,0,3,0,0,1
0,1,46,0,3,0,1,0
0,1,71,2,3,0,0,1
0,1,21,0,3,0,1,0
0,1,47,0,3,0,0,1
0,1,24,2,3,0,1,0
0,1,54,0,3,0,1,0
0,1,37,0,3,0,1,0
0,1,24,2,3,0,0,1
0,1,51,2,3,0,1,0
0,1,44.58196721,0,2,0,0,1
0,1,61,0,3,0,0,1
0,1,56,2,2,0,0,1
0,1,44.58196721,0,3,0,0,1
0,1,44,1,3,0,2,0
0,1,62,0,2,0,0,1
0,1,52,0,3,0,2,0
0,1,40,0,0,0,0,1
0,1,44.58196721,0,2,0,0,1
0,1,37,2,2,0,1,0
0,1,44.58196721,0,2,0,0,1
0,1,44.58196721,2,2,0,0,1
0,1,45.5,0,2,0,0,1
0,1,38,0,3,0,1,0
0,1,29,0,3,0,1,0
0,1,45,0,3,0,0,1
0,1,44.58196721,0,3,0,0,1
0,1,22,2,3,0,0,1
0,1,27,2,3,0,2,0
0,1,50,0,3,0,1,0
0,1,64,0,3,0,5,0
0,1,30,2,2,0,0,1
0,1,65,0,2,0,0,1
0,1,47,0,3,0,0,1
0,1,56,0,2,0,0,1
0,1,44.58196721,0,3,0,0,1
0,1,58,2,2,0,0,1
0,1,55,0,2,0,0,1
0,1,71,2,3,0,0,1
0,1,18,2,3,0,1,0
0,1,47,0,3,0,0,1
0,1,44.58196721,0,3,0,0,1
0,1,45,0,2,0,0,1
0,1,50,2,3,0,1,0
0,1,64,0,2,0,0,1
0,1,62,0,2,0,0,1
0,1,44.58196721,2,3,0,0,1
0,1,36,2,3,0,0,1
0,1,44.58196721,0,3,0,0,1
0,1,61,0,3,0,0,1
0,1,44.58196721,0,0,0,0,1
0,1,58,2,3,0,2,0
0,1,47,0,2,0,0,1
0,1,31,0,3,0,1,0
0,1,60,0,2,0,0,1
0,1,49,2,3,0,2,0
0,1,44.58196721,0,2,0,0,1
0,1,36,0,3,0,1,0
0,1,70,0,3,0,2,0
0,1,19,0,3,0,1,0
0,1,44.58196721,2,3,0,0,1
0,1,29,0,2,0,0,1
0,1,46,2,3,0,0,1
0,1,44.58196721,2,2,0,0,1
0,1,39,0,0,0,0,1
0,1,44.58196721,0,0,0,0,1
0,1,38,0,0,0,0,1
0,1,31,0,3,0,0,1
0,1,33,0,0,0,0,1
1,1,28,0,3,0,0,1
1,1,36.248,0,3,0,0,1
1,1,23,2,3,0,1,0
1,1,45,0,2,0,0,1
1,1,40,2,2,0,0,1
1,1,38,0,3,0,1,0
1,1,37,0,3,0,2,0
1,1,36.248,0,2,0,0,1
1,1,0.92,0,3,0,3,0
1,1,25,2,3,0,1,0
1,1,36,0,3,0,3,0
1,1,28,0,2,0,0,1
1,1,4,0,3,0,2,0
1,1,34,0,2,0,0,1
1,1,52,0,2,0,0,1
1,1,49,2,3,0,1,0
1,1,48,0,2,0,0,1
1,1,25,2,3,0,1,0
1,1,36.248,0,2,0,0,1
1,1,36,0,2,0,0,1
1,1,17,2,3,0,2,0
1,1,36,0,2,0,0,1
1,1,60,2,3,0,2,0
1,1,49,2,3,0,1,0
1,1,35,2,2,0,0,1
1,1,27,0,2,0,0,1
1,1,42,0,3,0,1,0
1,1,80,0,2,0,0,1
1,1,32,2,2,0,0,1
1,1,48,2,3,0,1,0
1,1,56,2,3,0,0,1
1,1,50,0,3,0,2,0
1,1,36,2,3,0,1,0
1,1,27,2,3,0,0,1
1,1,31,0,3,0,1,0
1,1,35,0,2,0,0,1
1,1,42,0,2,0,0,1
1,1,48,0,3,0,1,0
1,1,27,0,3,0,1,0
1,1,35,2,3,0,0,1
